"YEAR";"MONTH";"MONEDA";"VMUSD";"VMUTM";"VMCLP";"VMCLF";"VMEUR"
2008;1;"CLP";0,00207945011777249;2,89888682745826e-05;1;5,07921045082613e-05;0,00141328954705355
2008;1;"EUR";1,47135462942309;0,0205116271715298;707,569090909091;0,03593892321227;1
2008;1;"USD";1;0,0139406413391803;480,896363636364;0,024425738359461;0,679645803943334
2008;1;"UTM";71,7327112626799;1;34496;1,75212443711698;48,7528362151592
2008;2;"CLF";42,2983283898332;0,570050309736098;19762,504137931;1;28,6987871428182
2008;2;"CLP";0,00214033242420166;2,88450444213684e-05;1;5,06008749205348e-05;0,0014521837385848
2008;2;"EUR";1,47387163713008;0,019863219546501;688,618095238095;0,0348446781051598;1
2008;2;"USD";1;0,0134768992401391;467,217142857143;0,0236415962064439;0,678485137245194
2008;2;"UTM";74,201044482223;1;34668;1,7542311317451;50,3443058492578
2008;3;"CLF";44,6723141936154;0,570763937739367;19787,2441935484;1;28,8283471998421
2008;3;"CLP";0,00225763192472152;2,88450444213684e-05;1;5,05376084824409e-05;0,00145691572398149
2008;3;"EUR";1,54959678693824;0,0197987048575055;686,3815;0,0346880795165905;1
2008;3;"USD";1;0,0127766816660898;442,942;0,0223852293764293;0,645329164611809
2008;3;"UTM";78,2675835662457;1;34668;1,75203781086926;50,5083543189902
2008;4;"CLF";44,5376775264707;0,571239041955162;19883,1173333333;1;28,2540464031948
2008;4;"CLP";0,00223997458647015;2,87298531904502e-05;1;5,02939244000505e-05;0,0014210068737978
2008;4;"EUR";1,5763291703745;0,0202179551135221;703,726363636364;0,0353931605310497;1
2008;4;"USD";1;0,0128259728320061;446,433636363636;0,0224528995569124;0,634385265967273
2008;4;"UTM";77,9667954312664;1;34807;1,75058062659256;49,4609862562799
2008;5;"CLF";42,5848968304616;0,570590280746758;20019,16;1;27,3730916141435
2008;5;"CLP";0,00212720697723889;2,85022089211914e-05;1;4,99521458442812e-05;0,00136734466451857
2008;5;"EUR";1,55572112316528;0,0208449337323643;731,3445;0,0365322271264129;1
2008;5;"USD";1;0,0133988884138521;470,1;0,0234825037613966;0,642788726790179
2008;5;"UTM";74,6330567964263;1;35085;1,7525710369466;47,973287554634
2008;6;"CLF";40,8070477509826;0,571834322214336;20142,864;1;26,2260125996418
2008;6;"CLP";0,00202588111357861;2,8388928317956e-05;1;4,96453731703694e-05;0,00130200018228003
2008;6;"EUR";1,55597605987347;0,0218040893575315;768,049047619048;0,0381300815821944;1
2008;6;"USD";1;0,0140131264997127;493,612380952381;0,0245055708538955;0,642683409975677
2008;6;"UTM";71,3616622258066;1;35225;1,74875826992626;45,8629564208139
2008;7;"CLF";40,6097414753179;0,572146878800602;20395,8919354839;1;25,7673251012493
2008;7;"CLP";0,00199107455578674;2,80520646319569e-05;1;4,90294811898e-05;0,00126335858136316
